! ReWire,JACK,VST,VST3,LADSPA,LV2,DSSI,RTAS,AU,DXi,MAS
ACID Pro,{{Yes}},{{No}},{{Yes}},{{Yes}},{{No}},{{No}},{{No}},{{No}},{{No}},{{Yes}}
Acoustica,{{No}},{{No}},{{Yes}},{{Yes}},{{No}},{{No}},{{No}},{{No}},{{Yes}},{{No}}
Ardour,{{No}},{{Yes}},{{Yes}},{{Unk}},{{Yes}},{{Yes}},{{No}},{{No}},{{Yes}},{{No}}
Audacity,{{No}},{{Yes}},{{Yes}},{{No}},{{Yes}},{{Yes}},{{No}},{{No}},{{Partial|Only on OS X}}[1],{{No}}
AudioDesk,{{Partial|Returns only}},{{No}},{{Partial|Via converter}},{{No}},{{No}},{{No}},{{No}},{{No}},{{Yes}},{{No}}
Audiotool,{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}}
Audition,"{{partial}} (Pre CS5.5 - Yes, CS5.5 - No)",{{Yes}},{{Yes}},{{Yes}},{{No}},{{No}},{{No}},{{No}},{{Yes}},"{{partial}} (Pre CS5.5 - Yes, CS5.5 - No)"
BIAS Peak,{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}}
Cubase,{{Yes}},{{No}},{{Yes}},{{Yes}},{{No}},{{No}},{{No}},{{No}},{{No}},{{terminated}} (SX3.1)
Diamond Cut ART,{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}}
Digital Performer,{{Yes}},{{No}},{{Yes}},{{Yes}},{{No}},{{No}},{{No}},{{Yes}} (with Digi TDM or HD hardware via DAE),{{Yes}},{{No}}
Ecasound,{{No}},{{Yes}},{{No}},{{No}},{{Yes}},{{No}},{{No}},{{No}},{{No}},{{No}}
FL Studio,{{Yes}},{{No}},{{Yes}},{{Yes}},{{No}},{{No}},{{No}},{{No}},{{Yes}},{{Yes}}
GarageBand,{{Yes}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{Yes}},{{No}}
Goldwave,{{No}},{{No}},{{Partial|Beta}},{{Unk}},{{No}},{{No}},{{No}},{{No}},{{No}},{{Yes}}
! ReWire,JACK,VST,VST3,LADSPA,LV2,DSSI,RTAS,AU,DXi,MAS
Harrison Mixbus,{{No}},{{Yes}},{{Yes}},{{No}},{{Yes}},{{Yes}},{{No}},{{No}},{{Yes}},{{No}}
Jokosher,{{No}},{{No}},{{No}},{{Unk}},{{Yes}},{{No}},{{No}},{{No}},{{No}},{{No}}
Kristal,{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}}
Live,{{Yes}},{{No}},{{Yes}},{{No}},{{No}},{{No}},{{No}},{{No}},{{Yes}},{{No}}
LMMS,{{No}},{{Yes}},{{Yes}},{{Unk}},{{Yes}},{{No}},{{No}},{{No}},{{No}},{{No}}
Logic Express/Studio,{{Yes}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{Yes}},{{No}}
Mixcraft,{{Yes}},{{No}},{{Yes}},{{Yes}},{{No}},{{No}},{{No}},{{No}},{{No}},{{Partial|DirectX effects only}}
mp3DirectCut,{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}}
MuLab,{{Yes}},{{Unk}},{{Yes}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}}
MusE,{{No}},{{Yes}},{{Yes}},{{Unk}},{{Yes}},{{Yes}},{{Yes}},{{No}},{{No}},{{No}}
n-Track,{{Yes}},{{No}},{{Yes}},{{Yes}},{{No}},{{No}},{{No}},{{No}},{{Yes}},{{Yes}}
Nuendo,{{Yes}},{{No}},{{Yes}},{{Yes}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}}
NU-Tech,{{No}},{{No}},{{Yes}},{{Unk}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}}
Podium,{{Yes}},{{No}},{{Yes}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}}
Pro Tools,{{Yes}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{Partial|Before version 11}},{{No}},{{No}}
Qtractor,{{No}},{{Yes}},{{Yes}},{{Unk}},{{Yes}},{{Yes}},{{Yes}},{{No}},{{Yes}},{{No}}
! ReWire,JACK,VST,VST3,LADSPA,LV2,DSSI,RTAS,AU,DXi,MAS
REAPER,{{Yes}},{{No}},{{Yes}},{{Yes}},{{No}},{{No}},{{No}},{{No}},{{Yes}},{{Yes}}
Reason,{{Yes}},{{No}},{{Yes}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}}
Record,{{Yes}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}}
Renoise,{{Yes}},{{Yes}},{{Yes}},{{No}},{{Yes}},{{No}},{{Yes}},{{No}},{{Yes}},{{No}}
RiffWorks,{{Yes}},{{No}},{{Yes}},{{Unk}},{{No}},{{No}},{{No}},{{No}},{{Yes}},{{No}}
Rosegarden,{{No}},{{Yes}},{{No}},{{No}},{{Yes}},{{No}},{{Yes}},{{No}},{{No}},{{No}}
Samplitude,{{Yes}},{{No}},{{Yes}},{{Yes}},{{No}},{{No}},{{No}},{{No}},{{No}},{{Yes}}
SONAR,{{Yes}},{{No}},{{Yes}},{{Yes}},{{No}},{{No}},{{No}},{{No}},{{No}},{{Yes}}
Sound Forge,{{No}},{{No}},{{Yes}},{{Unk}},{{No}},{{No}},{{No}},{{No}},{{Yes}},{{Yes}}
Soundbooth,{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}}
Soundscape 32,{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}}
SoX,{{No}},{{No}},{{No}},{{No}},{{Yes}},{{No}},{{No}},{{No}},{{No}},{{No}}
SpectraLayers,{{No}},{{No}},{{Yes}},{{Unk}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}}
Studio One,{{Yes}},{{No}},{{Yes}},{{Yes}},{{No}},{{No}},{{No}},{{No}},{{Yes}},{{No}}
Sweep,{{No}},{{No}},{{No}},{{No}},{{Yes}},{{No}},{{No}},{{No}},{{No}},{{No}}
Total Recorder,{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}}
Tracktion,{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{No}},{{No}},{{No}},{{Yes}},{{No}}
Traverso,{{No}},{{Yes}},{{No}},{{Unk}},{{No}},{{Yes}},{{No}},{{No}},{{No}},{{No}}
WaveLab,{{No}},{{No}},{{Yes}},{{Yes}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}}
WavePad,{{No}},{{No}},{{Yes}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{Yes}}
WaveSurfer,{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}},{{No}}
! ReWire,JACK,VST,VST3,LADSPA,LV2,DSSI,RTAS,AU,DXi,MAS
